code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_score,total_clicks,date_registration,date_unregistration,Normalised_score,Engagement_score,Score_category
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,7885808582,934,-159,?,8.13056E-23,7885809516,High
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,7068706460,1435,-53,?,7.2881E-23,7068707895,High
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,0,281,-92,12,0,281,Zero
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,7271748875,2158,-52,?,7.49744E-23,7271751033,High
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,6930633575,1034,-176,?,7.14574E-23,6930634609,High
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,7969745068,2445,-110,?,8.2171E-23,7969747513,High
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,7065627568,1492,-67,?,7.28493E-23,7065629060,High
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,7272727373,1428,-29,?,7.49845E-23,7272728801,High
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,7268757270,1894,-33,?,7.49436E-23,7268759164,High
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,7180788081,3158,-179,?,7.40366E-23,7180791239,High
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,6876788068,1319,-103,?,7.09023E-23,6876789387,High
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,7374687378,1732,-47,?,7.60358E-23,7374689110,High
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,6771788889,1102,-59,?,6.98197E-23,6771789991,High
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,7385757077,3388,-68,?,7.61499E-23,7385760465,High
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,8342787679,2737,-67,?,8.60173E-23,8342790416,High
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,6668,171,-180,96,6.87496E-29,6839,High
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,5960606138,1053,-95,?,6.14561E-23,5960607191,High
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,8286827775,2327,-130,?,8.54403E-23,8286830102,High
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,150,N,Fail,60186749,116,-50,?,6.20548E-25,60186865,High
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,6766676565,2992,-107,?,6.9767E-23,6766679557,High
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,7376726764,680,-27,?,7.60568E-23,7376727444,High
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,7574757357,1494,-31,?,7.80986E-23,7574758851,High
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,74,339,-170,72,7.62968E-31,413,High
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,6259596162,2839,-107,?,6.45388E-23,6259599001,High
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,6368717466,744,-62,?,6.56639E-23,6368718210,High
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,8464756674,4104,-103,?,8.72748E-23,8464760778,High
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,8086867860,1944,-107,?,8.33786E-23,8086869804,High
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,7670837381,1150,-100,?,7.90892E-23,7670838531,High
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,8578807778,4777,-109,?,8.84507E-23,8578812555,High
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,676647,465,5,175,6.97648E-27,677112,High
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,5751563865,733,-107,?,5.93008E-23,5751564598,High
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,6661685369,998,-110,?,6.86845E-23,6661686367,High
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,808083,2343,-43,?,8.33164E-27,810426,High
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,8177777578,3553,-26,?,8.43159E-23,8177781131,High
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,6676747271,757,-29,?,6.88398E-23,6676748028,High
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,7479778054,1358,-68,?,7.71193E-23,7479779412,High
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,7666606050,1886,-68,?,7.90456E-23,7666607936,High
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,7277727872,1108,-32,?,7.50361E-23,7277728980,High
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,7363656345,284,-99,?,7.5922E-23,7363656629,High
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,7572727068,2041,-82,?,7.80776E-23,7572729109,High
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,6966717567,1321,-31,?,7.18295E-23,6966718888,High
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,858276,1011,-197,135,8.84915E-27,859287,High
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,6365757262,520,-75,?,6.56333E-23,6365757782,High
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,8783858681,2732,-96,?,9.05649E-23,8783861413,High
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,0,57,-29,30,0,57,Zero
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,7251,287,-32,144,7.47605E-29,7538,High
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,7281837887,5528,-195,?,7.50785E-23,7281843415,High
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,7774707171,1823,-61,?,8.01601E-23,7774708994,High
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,45,143,-110,129,4.63967E-31,188,Medium
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,6576747182,2121,-37,?,6.78087E-23,6576749303,High
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,6164657579,5645,-67,?,6.35599E-23,6164663224,High
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,7537494863,452,-36,?,7.77144E-23,7537495315,High
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,5253624340,597,-132,?,5.41668E-23,5253624937,High
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,77727571,611,-92,?,8.014E-25,77728182,High
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,52,155,-138,58,5.36139E-31,207,Medium
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,687078,1864,-174,158,7.08403E-27,688942,High
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,5448455350,270,-44,?,5.61756E-23,5448455620,High
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,7566686165,1529,-16,?,7.80154E-23,7566687694,High
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,8279798178,4003,-54,?,8.53678E-23,8279802181,High
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,8575,908,-64,191,8.84115E-29,9483,High
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,7981746059,1405,-52,?,8.22948E-23,7981747464,High
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,6568,1185,-46,123,6.77185E-29,7753,High
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,8258787368,466,-64,?,8.51512E-23,8258787834,High
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,6058827275,1510,-117,?,6.24688E-23,6058828785,High
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,Oct-20,35-55,0,60,N,Pass,7679625461,745,-32,?,7.91798E-23,7679626206,High
AAA,2013J,172112,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,6067747275,1939,-50,?,6.25607E-23,6067749214,High
AAA,2013J,172797,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,Pass,6054676660,1782,-45,?,6.2426E-23,6054678442,High
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,8379778380,6318,-162,?,8.63986E-23,8379784698,High
AAA,2013J,175392,M,North Region,HE Qualification,?,35-55,0,60,N,Pass,8574829378,4447,-195,?,8.84097E-23,8574833825,High
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,7673788282,2016,-92,?,7.91196E-23,7673790298,High
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,5128423235,138,-57,?,5.2876E-23,5128423373,High
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,6159445944,2012,-64,?,6.35062E-23,6159447956,High
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,76,487,-39,60,7.83588E-31,563,High
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,5753515257,1975,-128,?,5.93209E-23,5753517232,High
AAA,2013J,183947,M,London Region,A Level or Equivalent,Oct-20,0-35,0,180,N,Pass,6733485443,964,-32,?,6.94247E-23,6733486407,High
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,6562655354,1312,-74,?,6.76634E-23,6562656666,High
AAA,2013J,185439,M,London Region,HE Qualification,Oct-20,0-35,0,120,N,Fail,74,427,-12,?,7.62968E-31,501,High
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,8581785581,2136,-109,?,8.84814E-23,8581787717,High
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,8890889090,8562,-136,?,9.16684E-23,8890897652,High
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,76,1434,-57,60,7.83588E-31,1510,High
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,7685838370,1541,-180,?,7.92439E-23,7685839911,High
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,7566687558,3219,-62,?,7.80154E-23,7566690777,High
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,50,1905,-45,185,5.15519E-31,1955,Medium
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,6958595333,534,-54,?,7.17457E-23,6958595867,High
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,687062,1418,-73,166,7.08387E-27,688480,High
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,7559876575,1665,-68,?,7.79452E-23,7559878240,High
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,676340,333,-51,?,6.97332E-27,676673,High
AAA,2013J,227499,F,London Region,A Level or Equivalent,Oct-20,35-55,0,60,N,Distinction,8483848483,2953,-169,?,8.74716E-23,8483851436,High
AAA,2013J,227517,M,Ireland,HE Qualification,?,0-35,0,180,N,Fail,6367666354,1205,-172,?,6.5653E-23,6367667559,High
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,5868777782,227,-31,?,6.05093E-23,5868778009,High
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,7145676660,445,-108,?,7.36746E-23,7145677105,High
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,6468707355,614,-165,?,6.66948E-23,6468707969,High
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,8176758276,1215,-58,?,8.43054E-23,8176759491,High
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,80626366,1839,-29,?,8.31288E-25,80628205,High
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,65,190,-79,109,6.70174E-31,255,Medium
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,8584837860,732,2,?,8.85129E-23,8584838592,High
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,8373688686,1935,-151,?,8.63359E-23,8373690621,High
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,8281807066,321,-45,?,8.53885E-23,8281807387,High
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,7454565454,427,-47,?,7.68594E-23,7454565881,High
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,8566807885,1892,-50,?,8.8327E-23,8566809777,High
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,5155626461,1829,-31,?,5.31564E-23,5155628290,High
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,6675778584,658,-36,?,6.88298E-23,6675779242,High
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,6056585252,1174,-16,?,6.24457E-23,6056586426,High
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,7779748082,1969,-198,?,8.02121E-23,7779750051,High
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,8475846054,2580,-103,?,8.73891E-23,8475848634,High
AAA,2013J,256815,M,North Western Region,HE Qualification,Oct-20,0-35,0,120,N,Pass,7175797980,1481,-117,?,7.39852E-23,7175799461,High
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,5857645461,844,-68,?,6.03945E-23,5857646305,High
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,5865757254,4963,-172,?,6.04781E-23,5865762217,High
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,5560?,426,-186,170,#VALUE!,#VALUE!,High
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,6079707571,1066,-145,?,6.26841E-23,6079708637,High
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,8180757275,2407,-191,?,8.43467E-23,8180759682,High
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,90,N,Fail,6478837573,3210,-33,?,6.67992E-23,6478840783,High
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,5135,188,-17,187,5.29438E-29,5323,High
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,8062728385,3348,-68,?,8.31297E-23,8062731733,High
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,706568,2016,-108,177,7.28498E-27,708584,High
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,7982737983,1183,-138,?,8.2305E-23,7982739166,High
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,7072747774,492,-74,?,7.29227E-23,7072748266,High
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,6357654052,130,-64,?,6.55498E-23,6357654182,High
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,0,59,-50,?,0,59,Zero
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,6153727443,1961,-107,?,6.34472E-23,6153729404,High
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,5573777080,1046,-8,?,5.74677E-23,5573778126,High
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,6970607070,483,-52,?,7.18696E-23,6970607553,High
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,7869755872,1740,-96,?,8.11401E-23,7869757612,High
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,7574768070,652,-141,?,7.80987E-23,7574768722,High
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,8584858678,5231,-132,?,8.85131E-23,8584863909,High
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,0,0,-162,-121,0,0,Zero
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,55533841,187,-27,?,5.72575E-25,55534028,High
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,7282788277,1775,-80,?,7.50883E-23,7282790052,High
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,6153545343,865,-145,?,6.34454E-23,6153546208,High
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,3852525455,709,-17,?,3.9721E-23,3852526164,High
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,9195948866,2152,-115,?,9.48137E-23,9195951018,High
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,7770858587,514,-32,?,8.01205E-23,7770859101,High
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,8280797677,1997,-59,?,8.53781E-23,8280799674,High
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,585959,513,-83,?,6.04146E-27,586472,High
